Record_type,LIN,SUBLIN,NSN,PBIC,TAC,ERC,ECS,UIC,NSN Nomenclature,REQ,AUTH,OH,DI,DOCUMENT NO,SC,ESD,UI,UP,RICC,ECC,LCC,CIIC,AAC,ABA,SER|DETECT SN|REG|LOT|SYS NO
S,70210N,,7010015006979,3,3,,,W84VAA,"COMPUTER SYSTEM,DIGITAL",0,7,6,0,,,,EA,1827.15,0,JY,R,U,,2,5T5JDQ1|~|~|~|~
S,70210N,,7010015006979,3,3,,,W84VAA,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,5TBJDQ1|~|~|~|~
S,70210N,,7010015006979,3,3,,,W84VAA,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,5W7JDQ1|~|~|~|~
S,70210N,,7010015006979,3,3,,,W84VAA,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,GWBMKN1|~|~|~|~
S,70210N,,7010015006979,3,3,,,W84VAA,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,GZBNKN1|~|~|~|~
S,70210N,,7010015006979,3,3,,,W84VAA,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,GZFNKN1|~|~|~|~
S,70210N,,702101C173477,3,3,,,W84VAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: LAT",0,0,1,0,,,,EA,2481.66,0,JY,R,U,,2,72KJWV1|~|~|~|~
S,70210N,,7010015006979,3,3,,,WPELAA,"COMPUTER SYSTEM,DIGITAL",0,5,5,0,,,,EA,1827.15,0,JY,R,U,,2,34CJ1L1|~|~|~|~
S,70210N,,7010015006979,3,3,,,WPELAA,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,46W93L1|~|~|~|~
S,70210N,,7010015006979,3,3,,,WPELAA,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,8M9B1L1|~|~|~|~
S,70210N,,7010015006979,3,3,,,WPELAA,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,DBDBRL1|~|~|~|~
S,70210N,,7010015006979,3,3,,,WPELAA,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,DS6Z2L1|~|~|~|~
S,70210N,,7010015006979,4,3,,,W7MCAA,"COMPUTER SYSTEM,DIGITAL",0,25,25,0,,,,EA,1827.15,0,JY,R,U,,2,1P93VK1|~|~|~|~
S,70210N,,7010015006979,4,3,,,W7MCAA,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,25HJ1L1|~|~|~|~
S,70210N,,7010015006979,4,3,,,W7MCAA,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,3P93VK1|~|~|~|~
S,70210N,,7010015006979,4,3,,,W7MCAA,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,4P93VK1|~|~|~|~
S,70210N,,7010015006979,4,3,,,W7MCAA,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,5P93VK1|~|~|~|~
S,70210N,,7010015006979,4,3,,,W7MCAA,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,6P93VK1|~|~|~|~
S,70210N,,7010015006979,4,3,,,W7MCAA,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,7P93VK1|~|~|~|~
S,70210N,,7010015006979,4,3,,,W7MCAA,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,8HBJ1L1|~|~|~|~
S,70210N,,7010015006979,4,3,,,W7MCAA,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,8P93VK1|~|~|~|~
S,70210N,,7010015006979,4,3,,,W7MCAA,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,97W93L1|~|~|~|~
S,70210N,,7010015006979,4,3,,,W7MCAA,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,9N93VK1|~|~|~|~
S,70210N,,7010015006979,4,3,,,W7MCAA,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,9P93VK1|~|~|~|~
S,70210N,,7010015006979,4,3,,,W7MCAA,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,B5HJ1L1|~|~|~|~
S,70210N,,7010015006979,4,3,,,W7MCAA,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,BN93VK1|~|~|~|~
S,70210N,,7010015006979,4,3,,,W7MCAA,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,BP93VK1|~|~|~|~
S,70210N,,7010015006979,4,3,,,W7MCAA,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,CN93VK1|~|~|~|~
S,70210N,,7010015006979,4,3,,,W7MCAA,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,CP93VK1|~|~|~|~
S,70210N,,7010015006979,4,3,,,W7MCAA,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,DP93VK1|~|~|~|~
S,70210N,,7010015006979,4,3,,,W7MCAA,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,FN93VK1|~|~|~|~
S,70210N,,7010015006979,4,3,,,W7MCAA,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,FP93VK1|~|~|~|~
S,70210N,,7010015006979,4,3,,,W7MCAA,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,GN93VK1|~|~|~|~
S,70210N,,7010015006979,4,3,,,W7MCAA,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,GP93VK1|~|~|~|~
S,70210N,,7010015006979,4,3,,,W7MCAA,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,HN93VK1|~|~|~|~
S,70210N,,7010015006979,4,3,,,W7MCAA,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,JN93VK1|~|~|~|~
S,70210N,,7010015006979,4,3,,,W7MCAA,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,1827.15,0,JY,R,U,,2,JP93VK1|~|~|~|~
S,70210N,,7010014904419,4,9,,,W7Y452,"COMPUTER SYSTEM,DIG",0,1,1,0,,,,EA,5691.75,0,JQ,R,U,,2,9BKYA28963|~|~|~|~
S,C17936,70210N,7021015928324,4,2,B,,W8FLAA,"COMPUTER,DIGITAL",0,0,4,0,,,,EA,5292,0,JY,R,Y,,2,DW020320120025|~|~|~|57840
S,C17936,70210N,7021015928324,4,2,B,,W8FLAA,"COMPUTER,DIGITAL",0,0,0,0,,,,EA,5292,0,JY,R,Y,,2,DW020320120028|~|~|~|57856
S,C17936,70210N,7021015928324,4,2,B,,W8FLAA,"COMPUTER,DIGITAL",0,0,0,0,,,,EA,5292,0,JY,R,Y,,2,DW020320120031|~|~|~|57790
S,C17936,70210N,7021015928324,4,2,B,,W8FLAA,"COMPUTER,DIGITAL",0,0,0,0,,,,EA,5292,0,JY,R,Y,,2,DW020320120034|~|~|~|57604
S,70062N,70210N,702101C096199,8,3,,,WPEYAA,"COMPUTER, LAP-TOP: MACBOOK PRO 15-INCH",0,6,6,0,,,,EA,2829.17,0,JY,R,U,,2,W802548UAGZ|~|~|~|~
S,70062N,70210N,702101C096199,8,3,,,WPEYAA,"COMPUTER, LAP-TOP: MACBOOK PRO 15-INCH",0,0,0,0,,,,EA,2829.17,0,JY,R,U,,2,W803015GAGZ|~|~|~|~
S,70062N,70210N,702101C096199,8,3,,,WPEYAA,"COMPUTER, LAP-TOP: MACBOOK PRO 15-INCH",0,0,0,0,,,,EA,2829.17,0,JY,R,U,,2,W80302W7AGZ|~|~|~|~
S,70062N,70210N,702101C096199,8,3,,,WPEYAA,"COMPUTER, LAP-TOP: MACBOOK PRO 15-INCH",0,0,0,0,,,,EA,2829.17,0,JY,R,U,,2,W80302YBAGZ|~|~|~|~
S,70062N,70210N,702101C096199,8,3,,,WPEYAA,"COMPUTER, LAP-TOP: MACBOOK PRO 15-INCH",0,0,0,0,,,,EA,2829.17,0,JY,R,U,,2,W80360QKAGZ|~|~|~|~
S,70062N,70210N,702101C096199,8,3,,,WPEYAA,"COMPUTER, LAP-TOP: MACBOOK PRO 15-INCH",0,0,0,0,,,,EA,2829.17,0,JY,R,U,,2,W80360QRAGZ|~|~|~|~
S,70209N,,702101G000154,8,8,,,WPK8B0,"COMPUTER, PERSONAL WORKSTATION: 620 DELL",0,0,1,0,,,,EA,975,0,JY,R,U,,2,6VH7GC1|~|~|~|~
,70210N,,,8,3,,,WP91T0,"COMPUTER, MICRO LAP-TOP PORTABLE AC/DC W/BATTERY PK",0,5,0,0,,,,EA,0,,,,,,,
S,70210N,,702101D010574,8,3,,,WPEQT0,"COMPUTER, LAPTOP: DELL LATITUDE E6420XFR",0,5,1,0,,,,EA,3050.99,0,JY,R,U,,2,6B7CSS1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPEQT0,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,4,0,,,,EA,3616.49,0,JY,R,U,,2,BYY5NS1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPEQT0,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,BYY6NS1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPEQT0,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,BYZ0NS1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPEQT0,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,BYZ1NS1|~|~|~|~
S,70210N,,702101C096687,8,3,,,WPEYAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: MAC",0,7,2,0,,,,EA,2758,0,JY,R,U,,2,C02D81XKDC7C|~|~|~|~
S,70210N,,702101C096687,8,3,,,WPEYAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: MAC",0,0,0,0,,,,EA,2758,0,JY,R,U,,2,C02DD12GDC7C|~|~|~|~
S,70210N,FA203A,5820013532515,8,3,,,WPEYAA,"SUBSYSTEM,VIDEO",0,0,5,0,,,,EA,18307,0,JX,O,U,,P,C02D81VEDC7C|~|~|~|~
S,70210N,FA203A,5820013532515,8,3,,,WPEYAA,"SUBSYSTEM,VIDEO",0,0,0,0,,,,EA,18307,0,JX,O,U,,P,C02D81XHDC7C|~|~|~|~
S,70210N,FA203A,5820013532515,8,3,,,WPEYAA,"SUBSYSTEM,VIDEO",0,0,0,0,,,,EA,18307,0,JX,O,U,,P,C02DD0NZDC7C|~|~|~|~
S,70210N,FA203A,5820013532515,8,3,,,WPEYAA,"SUBSYSTEM,VIDEO",0,0,0,0,,,,EA,18307,0,JX,O,U,,P,C02DD12ADC7C|~|~|~|~
S,70210N,FA203A,5820013532515,8,3,,,WPEYAA,"SUBSYSTEM,VIDEO",0,0,0,0,,,,EA,18307,0,JX,O,U,,P,C02DD12LDC7C|~|~|~|~
S,70210N,,702101C105255,8,3,,,WPK6T0,"COMPUTER, MICRO LAP-TOP PORTABLE AC: 650",0,5,5,0,,,,EA,2000,0,JY,R,U,,2,23QR2L1|~|~|~|~
S,70210N,,702101C105255,8,3,,,WPK6T0,"COMPUTER, MICRO LAP-TOP PORTABLE AC: 650",0,0,0,0,,,,EA,2000,0,JY,R,U,,2,2SZ83L1|~|~|~|~
S,70210N,,702101C105255,8,3,,,WPK6T0,"COMPUTER, MICRO LAP-TOP PORTABLE AC: 650",0,0,0,0,,,,EA,2000,0,JY,R,U,,2,9SZ83L1|~|~|~|~
S,70210N,,702101C105255,8,3,,,WPK6T0,"COMPUTER, MICRO LAP-TOP PORTABLE AC: 650",0,0,0,0,,,,EA,2000,0,JY,R,U,,2,BL9B1L1|~|~|~|~
S,70210N,,702101C105255,8,3,,,WPK6T0,"COMPUTER, MICRO LAP-TOP PORTABLE AC: 650",0,0,0,0,,,,EA,2000,0,JY,R,U,,2,C7H93L1|~|~|~|~
S,70210N,,7010015847666,8,3,,,WPK8A0,"COMPUTER SYSTEM,DIGITAL",0,2,2,0,,,,EA,899,0,JY,R,U,,2,94VWQL1|~|~|~|~
S,70210N,,7010015847666,8,3,,,WPK8A0,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,899,0,JY,R,U,,2,94XWQL1|~|~|~|~
S,70210N,,7010015847666,8,3,,,WPK8B0,"COMPUTER SYSTEM,DIGITAL",0,2,2,0,,,,EA,899,0,JY,R,U,,2,94WVQL1|~|~|~|~
S,70210N,,7010015847666,8,3,,,WPK8B0,"COMPUTER SYSTEM,DIGITAL",0,0,0,0,,,,EA,899,0,JY,R,U,,2,94XVQL1|~|~|~|~
S,70210N,,702101C031482,8,9,,,WPK8T0,LAPTOP DELL D620,0,12,1,0,,,,EA,600,0,JX,R,U,,2,11D4GC1|~|~|~|~
S,70210N,,702101J001111,8,9,,,WPK8T0,"COMPUTER, DELL LAP-TOP D830",0,0,1,0,,,,EA,1200,0,JY,R,U,,2,6XRJZF1|~|~|~|~
S,70210N,,702101C047133,8,3,,,WPLCT0,"COMPUTER, MICRO LAP-TOP PORTABLE AC/DC W",0,6,1,0,,,,EA,2500,0,JY,R,U,,2,LPLPHN8|~|~|~|~
S,70210N,,702101D010574,8,3,,,WPLCT0,"COMPUTER, LAPTOP: DELL LATITUDE E6420XFR",0,0,1,0,,,,EA,3050.99,0,JY,R,U,,2,BB7CSS1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPLCT0,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,4,0,,,,EA,3616.49,0,JY,R,U,,2,1722NS1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPLCT0,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,1775NS1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPLCT0,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,1784NS1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPLCT0,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,17B4NS1|~|~|~|~
S,70210N,,701001C012419,8,3,,,WPLET0,"COMPUTER, MICRO LAP-TOP PORTABLE AC: 1RE",0,11,1,0,,,,EA,4595,0,JY,R,U,,2,3BYUA17415|~|~|~|~
S,70210N,,702101C047133,8,3,,,WPLET0,"COMPUTER, MICRO LAP-TOP PORTABLE AC/DC W",0,0,1,0,,,,EA,2500,0,JY,R,U,,2,LPLPGX9|~|~|~|~
S,70210N,,702101D010574,8,3,,,WPLET0,"COMPUTER, LAPTOP: DELL LATITUDE E6420XFR",0,0,1,0,,,,EA,3050.99,0,JY,R,U,,2,CB7CSS1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPLET0,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,8,0,,,,EA,3616.49,0,JY,R,U,,2,1725NS1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPLET0,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,1727NS1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPLET0,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,1731NS1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPLET0,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,1732NS1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPLET0,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,1762NS1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPLET0,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,81F88V1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPLET0,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,81G98V1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPLET0,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,81J88V1|~|~|~|~
S,70210N,,7021015928324,8,3,,,WPYRAA,"COMPUTER,DIGITAL",0,56,3,0,,,,EA,5292,0,JY,R,Y,,2,5QNCMM1|~|~|~|~
S,70210N,,7021015928324,8,3,,,WPYRAA,"COMPUTER,DIGITAL",0,0,0,0,,,,EA,5292,0,JY,R,Y,,2,8Q8DMM1|~|~|~|~
S,70210N,,7021015928324,8,3,,,WPYRAA,"COMPUTER,DIGITAL",0,0,0,0,,,,EA,5292,0,JY,R,Y,,2,8QFFMM1|~|~|~|~
S,70210N,,702101C101460,8,3,,,WPYRAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: PRE",0,0,2,0,,,,EA,2381.74,0,JY,R,U,,2,G5QBDH1|~|~|~|~
S,70210N,,702101C101460,8,3,,,WPYRAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: PRE",0,0,0,0,,,,EA,2381.74,0,JY,R,U,,2,J5QBDH1|~|~|~|~
S,70210N,,702101D010574,8,3,,,WPYRAA,"COMPUTER, LAPTOP: DELL LATITUDE E6420XFR",0,0,2,0,,,,EA,3050.99,0,JY,R,U,,2,FB7CSS1|~|~|~|~
S,70210N,,702101D010574,8,3,,,WPYRAA,"COMPUTER, LAPTOP: DELL LATITUDE E6420XFR",0,0,0,0,,,,EA,3050.99,0,JY,R,U,,2,GB7CSS1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPYRAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,51,0,,,,EA,3616.49,0,JY,R,U,,2,1724NS1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPYRAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,1744NS1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPYRAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,1755NS1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPYRAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,1764NS1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPYRAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,1765NS1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPYRAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,1783NS1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPYRAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,1791NS1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPYRAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,1793NS1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPYRAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,1794NS1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPYRAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,17C1NS1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPYRAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,17C3NS1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPYRAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,17D1NS1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPYRAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,17D3NS1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPYRAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,17F3NS1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPYRAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,17F4NS1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPYRAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,81F98V1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPYRAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,81G78V1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPYRAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,81G88V1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPYRAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,81H78V1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPYRAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,81H88V1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPYRAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,81H98V1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPYRAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,81J78V1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPYRAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,81J98V1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPYRAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,81K88V1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPYRAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,81K98V1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPYRAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,81L68V1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPYRAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,81L78V1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPYRAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,81L88V1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPYRAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,81L98V1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPYRAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,81M68V1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPYRAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,81M78V1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPYRAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,81M88V1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPYRAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,81M98V1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPYRAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,81N68V1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPYRAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,81N78V1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPYRAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,81N88V1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPYRAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,81N98V1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPYRAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,81P68V1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPYRAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,81P78V1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPYRAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,81P88V1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPYRAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,81P98V1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPYRAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,81Q68V1|~|~|~|~
S,70210N,,702101X001675,8,3,,,WPYRAA,"COMPUTER, MICRO LAP-TOP PORTABLE AC: E64",0,0,0,0,,,,EA,3616.49,0,JY,R,U,,2,81Q78V1|~|~|~|~
